ID,Sent1,Sent2,Score
707,A dog has it's head inside a red and green gift bag.,A pet playfully investigates the contents of a gift bag.,3.8
708,A yellow shirted man wearing a golden sun mask.,"A man in a yellow shirt wears a gold, sun-shaped mask.",5.0
713,A man is scalling a sheer rock face with a rope support.,A young man is doing a ski jump with a purple board.,0.4
714,A child with his hands on his head.,A little boy stands with his hands on top of his head,4.2
716,A man wearing a orange vest is canoeing in the blue water.,A man in an orange jacket raising his hands to the sky in the sand.,1.8
718,A black dog lays in the sand.,Kids play in the water,0.0
720,A light brown dog runs down a path happily.,A pale dog runs down a path.,3.4
722,An old man in a black trench coat standing in a marketplace.,The baby is wearing a red shirt and walking in a plaza.,1.2
725,A man dressed in black wearing a hat and glasses in front of a red wall.,A woman in a white shirt standing in front of a brick wall.,1.4
728,A man helps a boy ride a bike.,The man helps the boy ride a bike.,4.8
730,A red haired women in black is posing for a man while resting on a tree.,A man in a black shirt is holding a child wearing sunglasses.,0.0
731,A man climbing a cliff face.,A man climbs a sheer cliff face.,4.8
733,The two dogs are playing fetch in the snow.,The dogs play in the snow.,4.0
736,Two girls are in pajama pants and appear to be dancing.,Two girls with baseball caps are eating a snack outside.,0.6
738,A white and brown dog playing with a black toy.,A white and brown dog is playing tug-o-war.,3.4
739,Two black dogs are jumping and playing with a yellow tennis ball in the snow.,A brown dog and a black dog playing with a yellow soccer ball.,2.0
740,Two dogs are playing on the beach together.,Two black dogs are playing in a grass.,3.0
741,A boy plays baseball.,A man is playing baseball.,3.0
743,A black and white dog is jumping over a hurdle.,A white dog running over a bridge.,2.0
744,A boy wearing a red shirt runs across the grass with a furry dog.,A sports fan is wearing face paint in the stands.,0.0
747,A black dog retrieves in the snow.,A skateboarder jumping in the street.,0.0
749,A smiling man and a baby girl posing for photo.,A smiling man holds a small child wearing pink and red.,3.2
750,Two tan and white dogs and one tan dog racing down the beach near the water.,Lady in a pink Tinkerbell jacket stands next to the railing and looks out at the water.,0.2
752,A dog jumping for a Frisbee in the snow.,A dog is jumping in the snow.,3.2
754,A man is riding a bicycle on a dirt path.,Two dogs running along dirt path.,1.6
756,A brown and white dog with a pink collar is barking at a brown dog with a blue collar in the snow.,The dog with the red collar is bearing it's teeth at the dog with the blue collar.,3.4
757,Two brown dogs runs through the water.,Two brown dogs running through water.,4.6
758,A seated young woman in a hat is reading at a coffee shop.,a woman enjoying her reading at a coffee shop,4.4
759,A black and white dog is running through the grass.,The black and white dog is running on the grass.,4.8
761,Two brown dogs are biting each other.,Two brown dogs biting each other on sand.,4.2
764,A skateboarder attempts a trick on the side of a low wall.,A boy does skateboard tricks on a railing.,4.0
767,A young girl doing a back flip in the water.,a young girl wearing purple running through water,2.8
768,A snowboarder rides a snowboard down a railing beside a flight of steps.,A boy is grinding a skateboard down a concrete wall.,0.8
770,A black dog is jumping out of water.,A black dog is shaking off water.,3.0
773,A woman with two men in hats socializing outside.,A young woman with a knit cap stands against the wall of a Domino's Pizza.,1.4
774,A small boy in a bathrobe is sitting in a metal chair.,A boy in a robe sits in a chair.,4.2
777,A black dog is running through the snow.,A black pit bull dog is running through the dirt.,2.2
778,a group of teenagers are dancing on a wooden floor.,A group of people in dark colored clothing are line dancing on a wooden floor.,3.4
781,A woman stands with her arms out at her sides while another takes a picture.,A man stands in a crowd holding a white object.,0.4
782,A young boy is riding a bike.,A young girl laying on a blue inflatable toy,0.4
783,A black dog running in the snow.,A black dog running on a beach.,1.8
784,Three dogs in the snow by a fence.,Two dogs drink water in a lake.,1.0
787,A girl runs along a river bank with two black dogs.,A little boy is petting a tiger that is laying down.,0.2
790,A man climbing a rock-face.,A man is climbing a rock wall.,4.6
791,"A teenage girl running on a beach shouting, with an older man walking behind her.",a young child running along the shore at a beach,1.8
792,Woman playing tennis and hitting the ball.,A woman is playing volley ball.,2.0
795,"A young boy with his hair standing up, is sliding down a blue slide",The kid in the orange shirt is sliding down a teal slide.,2.6
796,"Many people are on the beach, near a building with flags flying.",A busy beach has people scattered on it watching the sky.,2.4
797,A dog standing in the water.,A girl playing on a parachute.,0.4
799,A brown and white dog is walking next to a man on a skateboard.,A blond child is laying on a branch of a tree in a green field.,0.0
800,Man riding a surfboard on a wave.,A man in black on a surfboard riding a wave.,4.0
801,A surfer is riding on a breaking wave.,a group of surfers catching a wave,2.6
802,The man in the red shirt is climbing the side of a mountain.,A man is climbing the side of a mountain.,4.2
803,Black and white dog running through water.,A tan and white dog runs through water.,3.0
807,A man riding a motorcycle while wearing a black uniform.,A white motorcycle is being ridden around a race track.,1.4
812,"Three clowns in bright, multi-colored costumes.",Three women in brightly colored dresses.,2.0
813,a black dog swimming through a river.,a black dog digging through the snow.,1.2
815,Two beige dogs play in the grass.,two tan dogs play in the grass,4.6
816,Two dogs are running through the grass near a house and trees.,Two dogs are running through a green yard,4.2
818,A man and a woman are smiling.,A man and a woman laughing.,3.2
819,A man is standing on top of a rock or mountain watching the sun set.,A man standing in the mountains watching a sunset.,4.8
821,Two little girls are playing on a trampoline.,Two little boys are playing on a playground.,1.4
823,Two girls are jumping high in the air.,Two dogs nussle one another in the grass near a lake.,0.2
824,The woman holding a black purse is smoking a cigarette.,A woman with a black bag is smoking a cigarette,4.8
826,A dog is running along the grass.,A brown dog is running in the grass.,4.2
827,A man with long hair is looking through a camera.,A woman stands against a wall near a video camera.,1.0
828,A dog and a red ball in the air.,A dog digs a hole in a yard.,1.0
830,A brown and white dog is running across a brown field.,A person hanging from a rocky cliff.,0.0
831,Brown dog running on grass.,The dog is running on grass.,4.0
832,A dog jogs through the grass.,a dog trots through the grass.,5.0
835,Two people wearing hats sit and look at the camera.,A man wearing a blue shirt makes a grouchy face.,0.0
838,A black dog standing in the grass near a volleyball.,A brown and black down with a blue collar near a soccer ball on a grassy field.,2.2
842,Two girls playing with people and flowers behind them.,Two young girls wearing skirts are playing in a garden.,3.2
848,A girl in a pink shirt is sprawling her limbs out in midair.,A man dressed in a Santa suit is climbing up a large concrete building.,0.0
849,A little girl in a red shirt pulls a kite.,A girl in a red shirt takes a picture on a phone.,1.4
851,Child sliding in the snow.,Man sleeping on the street.,0.0
854,Three dogs are playing in the water.,Three dogs swim in the water.,4.2
855,A white dog running on sand.,A white dog runs on the sand.,5.0
856,A little girl with her hands in the air is sitting on a man's back while he is laying on a blanket.,A kid runs in the opposite direction of others who were playing a game.,0.2
859,a red and white race car racing on a dirt racetrack.,A person is riding a dirt bike in a race on a dirt track.,1.4
860,A black and white dog is running through a cow field.,A large black and white dog runs in the ocean water,2.2
861,A white dog with light brown markings has a stick in his mouth and his paws in the snow.,A white dog holds a stick in its mouth while it runs through snow.,4.0
862,A man in a straw hat shades his phone while others walk on a busy sidewalk.,A man lies on a street with his headand shoulders under a parked car that is jacked up.,0.6
863,A man with a messenger bag in front of a gray tile wall.,Man in red jacket standing in front of lighthouse.,0.8
865,A dog swims in the water.,Three dogs swim in the water.,3.2
866,Group of little girls and a dog standing on the road.,a group of people white water rafting in a blue raft.,1.4
867,A little white curly haired dog runs across the pavement with a stick in its mouth.,A white curly haired dog runs with a stick in it's mouth.,4.6
868,A man in a wet suit is throwing a baby wearing a wet suit up into the air.,A man in a white print shirt and a woman in a black dress dancing.,0.0
869,A man in a grey suit kneels in front of a woman in a white dress.,A woman in red with a beer followed by a man in white.,0.0
871,"The blonde woman is wearing a black, american flag, tartan cap.",A red-haired woman is wearing a black beret adorned with the American flag.,2.8
872,A person holding a net is standing in the water.,A black woman and two black children are sitting in a thatched tent.,0.6
873,A woman in an red tracksuit squeezing lemons in a press.,A young woman in a pink hoodie takes a picture.,0.4
875,A black and white dog is running through the grass.,A tan dog is walking through snow.,2.0
877,a man walks two dogs on leashes down the street,A man walks two dogs in the city.,4.2
878,A brown and white dog with a pink Frisbee in it's mouth is humping over a man's back.,"a dog with a Frisbee in its mouth, jumps over a man.",3.0
880,A dog is running in the snow.,Two dogs running in the dirt,2.2
881,A small boy playing in the snow.,The brown and white dog is playing in the snow.,1.6
885,A harnessed dog leaps over a log as another dog follows behind.,A brown and white dog is leaping over a log in a field while another dog follows behind it.,3.0
887,A dog and cat laying down together.,Two grey dogs are carrying a stick in the water.,0.6
890,A woman in a blue shirt and tan shorts sits at a table.,A smiling young woman in a tourquoise shirt and bandanna poses at table outdoors.,3.2
891,A family is playing on the beach with their dog.,A naked little girl being thrown into the air.,0.0
897,a white dog running in the snow,The dogs are running in the snow.,3.2
898,a dog runs through the long grass.,A dog lays down in the long green grass.,2.6
899,The black dog is running through the snow.,A race car driver is driving his car through the mud.,0.0
900,A dog wearing a green sweater and a backpack walking on snow.,A small dog wearing a green sweater and a backpack walks through snow.,4.4
901,A group of people sitting around a desk.,A group of girls on a beach.,0.6
903,Three dogs are running in a field.,Two dogs are running in a grassy field,2.8
904,A man and woman with their hands on their chins are standing next to a Christmas tree.,The man with a white beard and blue cap is standing in the doorway of a workshop.,0.4
905,The black and white dog has a stick in his paws.,A black dog and a white dog are standing on snow.,1.2
906,A white dog running through the snow,The black and white dog runs through the grass.,1.4
909,A man on skis on a snow-covered hill with mountains in the background,A dog enjoys a romp in the water with mountains and sand in the background.,0.6
913,A group of people are camping out on some rocks.,A group of people are standing beside a fire truck.,1.2
918,A man on a bike nest to a river.,A man on a bike does a very high jump.,1.2
923,A dog running on the grass,Two dogs are running on the grass.,2.6
925,There is a black dog jumping into a swimming pool.,A black dog is leaping into a swimming pool.,5.0
927,A skier going down the snowy hill.,A brown dog is laying in the snow.,0.4
928,Two dogs are running on the grass.,Two dogs running in the dirt,3.6
930,A man is spraying a fluid from a long hose at the beach.,A guy is sitting on his bike with one wheel in the air.,0.6
931,Three dogs playing in the snow while one dog wears a jacket.,"Three dogs playing in the snow, with a city in the background.",3.4
932,Many football players sitting on the ground.,A dog rolls on the ground.,0.0
933,A group of people in boats racing towards the shore.,A group of people stand together and pose in front of a house.,0.8
934,A little boy and a little girl playing together outside.,A woman wearing a white shirt stands on the street.,0.0
935,A person in a red vest is touching the blue ice skates on another person.,A lady fastens someone's ice skates in the snow.,2.2
938,A girl bounces upside down on her head on a trampoline.,A girl is bouncing on her head on a trampoline.,4.8
939,The surfer does a flip off of a wave.,A surfer does a flip on a wave.,4.8
944,A female DJ holds up a Michael Jackson album.,a girl holding a picture of Michael Jackson smiling,3.0
946,A woman standing in front of trees and smiling.,A man is walking by trees in front of the city skyline.,2.0
952,A boy doing a back flip into a swimming pool.,A boy wearing red and blue swim trunks jumping head first into a swimming pool.,2.4
953,three little boys cover themselves with bubbles.,Three children standing by a pool are covered in foam bubbles.,4.2
954,The boy is looking up at the girl as another girl ignores them.,the boy is diving into the pool as the couple watch.,0.2
955,two white standard poodles play with a toy in the snow,Two dogs fighting in the snow.,2.2
956,"A crowd of people stand on a rural road, a field behind them, a forest in front.",A bunch of people standing next to a car with it's trunk open.,0.8
957,Boy lies on stomach in grass.,Small boy lying on his stomach on the grass.,4.4
960,A black dog with a blue collar is running in the snow.,A black dog with a red collar plays in the snow.,3.2
961,A Japanese swordsman jumps into the air.,A woman is getting her dog to jump in the air.,1.0
964,A bird sits in a tree.,A bird sits in a leafless tree.,3.8
965,A brown dog chews on an orange ball.,A dog has an orange ball in its mouth.,4.0
970,A white dog runs along a rocky shoreline.,A dog jumps over a hurdle.,0.8
972,A brown dog jumping into the air to catch a ball.,three young woman jumping into the air to catch a ball.,0.6
976,A child is walking from one picnic table to another.,The boy hops from one picnic table to the other in the park.,3.2
977,A man wearing US flag boxer shorts is standing on a stairway.,A woman wearing a white shirt stands on the street.,0.0
978,A group of seven people are rafting in the rapids in a green boat.,A group of people are standing and sitting around on the ground at night.,0.0
979,A dog in the snow.,Two dogs in snow.,3.0
980,A man with long hair is looking through a camera.,A man with sunglasses looking straight ahead.,2.0
981,Dalmation running along the beach.,A Dalmation runs along a beach.,4.8
983,a black and white dog jumping in the air to catch a Frisbee,A black and white dog jumping in a yard.,3.4
984,The woman is holding the harness that the brown and white dog is wearing.,A man and woman are looking at artwork that is on easels and clipped to a fencing wall.,0.0
986,A dog running through snow.,A dog runs in the snow.,5.0
989,Four black dogs run across the grass.,A dog runs across the grassy field.,2.0
990,A man in red and black is hitting a soccer ball with his head.,A man in a red striped soccer shirt heads a ball.,3.6
991,A brown dog is walking on the grass.,A dog chases another by a tree.,1.2
993,A girl is jumping.,A boy is rock climbing.,0.6
999,A woman placing a baby on a skateboard on the beach.,a woman holds a small baby on a skateboard at the beach,4.6
1001,A black dog is biting a light brown dogs ear in a playful manner.,A black dog playfully bits another dog in a living room setting,4.0
1002,The beagle is walking on the beach at the waterline.,A beagle walks along the calm shore.,4.4
1003,A young pitcher is throwing the baseball.,A brown dog is walking on the grass beside a fence.,0.0
1007,The black and white dog runs through the grass.,A black and white dog is running through grass.,5.0
1010,"Two dogs run through the snow, one with a tennis ball.","The boy is doing a stunt, through the air, on his bicycle.",0.0
1012,A black dog is walking on the grass with a stick in it's mouth.,The black dog is running on the grass with a toy in it's mouth.,3.2
1014,Three children playing in snow.,Three children playing in hay,2.4
1015,A man walks toward a policeman standing in a crosswalk on a city street.,A policeman stands in a crosswalk in a city.,3.0
1017,Two people ride their bikes down a dirt road.,Two people riding their bikes on a hill.,3.4
1018,The black and brown dog is playing in the yard.,The black and tan dog is chasing something he has spotted.,2.4
1020,A black dog and a white dog playing in the street.,A black dog and a white dog play in the street together.,4.6
1023,A large black and white dog is swimming in the water.,A black and white dog with a stick is in muddy water.,3.6
1024,A little boy clowns with a colander on his head.,A boy with a metal colander on his head.,4.2
1025,A brown dog is running through the field.,a brown dog with his tongue wagging as he runs through a field,4.0
1030,A boy is jumping into the water with a ball in his hand.,A little boy swimming underwater with a toy in his hand.,2.2
1032,A person wearing scuba gear is swimming underwater water.,A person is scuba diving in very clear blue water.,3.8
1035,This dog is jumping through the water.,Two dogs running through the water on a beach.,2.2
1037,Two constructions workers sit on a beam taking a break.,The man is putting on his shirt near an elevator.,0.0
1038,A man and a woman laughing.,A man and a woman kiss.,1.2
1040,"A black, brown and white dog running through a field.",A white and brown dog runs in a field.,2.83
1042,Children are playing in a swimming pool while two adult men watch them.,Children play in a pool while adults look on.,4.6
1044,A dog is standing in the sand.,A tan dog is standing in front of some plants.,2.0
1045,Four girls in swimsuits are playing volleyball at the beach.,Four ladies in swimsuits play sand volleyball on the beach.,4.0
1047,Two kids splashing in the water.,Two dogs play together on the bed.,0.0
1050,A blonde haired toddler swinging on a tire swing.,A blonde haired child is swinging on a tire swing.,4.8
1051,The brown and white dog is walking in shallow waters.,A white and brown dog appears to be walking on the water.,4.6
1052,A woman reads while on public transportation.,A man who has fallen asleep on public transportation.,1.6
1054,A bulldog is running through a grassy park while people stand in the background.,A dog is running in a large body of water causing it to splash.,1.8
1055,A young boy riding a bike on a brick road,A person does tricks on a bike on a ramp surrounded by trees.,2.2
1063,The young man is skateboarding at a skate park.,a boy in a blue T shirt is airborne on a skateboard in a skate park.,3.8
1068,A girl jumping rope on a sidewalk near a parking garage.,A girl jumping rope on a sidewalk with a parking garage to the left.,4.4
1070,A person is out in the water at the beach while the sun sets.,A person above their surfboard on the water.,3.0
1072,A dog jumps in midair to catch a Frisbee.,The brown dog jumps for a pink Frisbee.,4.0
1073,A child wearing blue and white shorts is jumping in the surf.,A girl wearing green twists something in her hands.,0.6
1075,The dog returns the play toy to its master.,Three dogs race in the snow together.,1.0
1078,Two females jump off of swings.,Two girls jump out of swings.,4.6
1079,A woman with a young girl pose with bear statues in front of a store.,A man in a jersey stands in front of a large crowd.,0.6
1081,Two dogs running on the shore.,A white dog running on the beach.,2.4
1087,A shirtless man playing football on a lawn.,A shirtless man catches a football,4.4
1088,A girl wearing green twists something in her hands.,A young boy wearing only green shorts poses awkwardly with a brick background.,0.8
1089,a young girl smiling with her head upside down,A girl poses with her head upside down.,4.6
1090,Two women holding checkered flags near an orange car.,Two ladies in skimpy clothes pose next to an old fashioned car.,2.8
1092,A man in a red jacket holds his bike for the picture.,A woman in a red jacket is video taping a natural landscape.,0.4
1093,A boy jumps into a not-so-crowded public pool.,A man jumps while on a snowboard.,0.8
1096,The clowns are striking a pose for the camera.,A child in orange is on a boogie board in the waves.,0.6
1098,Four kids holding hands jump into a swimming pool.,Four dogs playing in the snow.,0.0
1102,A yellow car speeds along a snowy field.,A yellow car drives quickly in the snow.,4.4
1104,A boy pushes a wagon with two pumpkins.,A child squats behind a wagon with two pumpkins in it.,2.8
1105,Two soccer players battle for the ball during an intense match.,Two little orange and white dogs are in the snow.,0.0
1111,The black dog is walking through the tall grass.,The black dog is running through the grass.,3.8
1112,Two dogs playing in snow.,Two dogs playing in grass.,2.4
1113,One boy is pushing another boy on a swing.,A boy is pushing another boy on the swings.,4.8
1114,A pitcher on a mound throws a baseball.,A boy in the middle of a pitch at a baseball game.,3.4
1116,Two black dogs playing in the snow.,A black dog digs in the snow.,3.4
1121,A dog jumps over a chain.,A dog leaping over a chain.,5.0
1125,A girl with a black purse sitting on a wooden bench.,A young woman with a black purse sits on a wooden bench.,4.6
1129,A black and a yellow dog,A black dog and a brown-and-white dog play in a field.,2.2
1130,Three children in a ball pit.,Several children playing in a ball pit.,3.4
1131,A large white and grey dog runs through a yellow tunnel in an obstacle course.,A white and black dog is running out of a yellow and orange tube.,3.6
1133,A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,4.8
1135,A man stands astride a bike on a rocky trail by a lake.,"A woman is wearing a white headband, purple tank top and black gloves.",0.0
1136,A brown dog is running through green grass.,A brown dog is running though a river.,2.4
1139,A small white dog and large brown dog play on the grass.,A small light tan dog is running past a large brown dog standing in the grass.,3.4
1141,A woman holds a dog while another dog stands nearby in a field.,A lady holding one dog while another dog is playing in the yard.,3.4
1143,A little girl is riding a toy tricycle on springs.,A little girl is playing on a toy outdoors.,2.8
1146,A black dog walking through water.,Two black dogs walking through the snow.,2.4
1148,A black dog is running in snow.,A black dog is swimming with a ball in it's mouth.,1.8
1149,A woman dressed in green is playing with her tan dog.,A tan dog licks a girls hand while laying down.,1.6
1150,Two homeless men stand outside with a cardboard sign.,Two homeless young men holding a cardboard sign.,4.6
1151,A woman is sitting in the water.,The woman is skating in the park.,0.8
1152,A brown dog wades in the water.,A dog splashes in the murky water.,3.6
1153,A tan girl in a floral bikini is swimming in dark blue waters.,a little girl in a flowered bathingsuit runs through the sand at the beach,2.2
1154,One man in an orange shirt wearing a white helmet is riding a bike.,The man wearing a blue helmet is riding a Polaris.,2.8
1155,A hockey player looks intently downward.,A hockey player during a game.,2.0
1159,A little boy is standing in front of a wedding party laughing.,A person standing on a stage in front of a seated crowd,1.8
1160,Two brown dogs chase each other in the snow.,Two brown dogs are playing with each other in the snow.,4.2
1163,A person on a snowmobile.,A person on a snowmobile in mid jump.,3.6
1165,Children are playing on a trampoline in the snow.,Several children and jumping on a trampoline in the snow.,4.5
1166,The man is standing on the shore hitting a ball with a paddle.,Two teenage girls are standing on beside the beach listening to ipods.,0.8
1168,This over the top photo shows two men taking a break.,A person with swim cap and goggles taking a breath.,0.4
1171,Two brown dogs running together on sand,Two brown dogs are running on the sand.,4.6
1175,A black dog is chasing after a red Frisbee.,A black poodle is running in the snow.,1.4
1177,Two girls with ponytails ride an amusement park ride.,A young girl is on a ride at an amusement park.,3.0
1178,A dog digging in the sand.,A brown dog digs in the sand.,4.2
1180,a grey dog swimming through a river with a stick in his mouth,Dog swimming through water carrying stick in its mouth,3.8
1183,A woman in a blue bathing suit is jumping off a dock into a lake.,a boy in a blue shirt and blue jeans runs across a playground,0.4
1185,Two men sit on the sidewalk in front of stores.,A woman in a bathing suit walks a dog on the beach.,0.0
1186,A black and white spotted dog jumps over a stream.,A black and white spotted dog is jumping over the small stream of water.,4.6
1190,A person on a bmx bike.,A man on a bike in mid-air,3.0
1191,Two dogs running through tall grass.,Two dogs are running through a grassy area.,4.6
1192,Little white dog wearing a leash jumping after a red ball.,A black and white dog returns a stick in the snow.,1.0
1195,A group of people standing outside of a building.,A large group of people have formed a line outside.,3.2
1196,A dog with a stick follows another dog through the water.,A four wheel drive car is driving through the mud.,0.0
1197,A group of four children dancing in a backyard.,A group of children do stretches on colored mats.,1.6
1198,Two black dogs are playing on the grass.,Two black dogs are playing in a grassy plain.,4.6
1199,a group of teenagers are jumping in the air on the beach.,A group of young people jump up in the air while on the beach.,4.8
1200,A black and brown dog is chewing on a large stick.,A black and white dog playing in the sand.,1.8
1202,A boy waves around a sparkler.,A young boy is twisting a sparkler around in the air.,4.4
1205,Two black dogs playing in the grass.,Two dogs play in the grass.,4.2
1207,Several people are sitting around a fire at night.,A group of people are standing and sitting around on the ground at night.,2.6
1208,Two boys are jumping into a pool.,Two boys are in midair jumping into an inground pool.,4.2
1209,Two different breeds of brown and white dogs play on the beach.,Two dogs playing in the sand at the beach.,4.0
1211,One man and two women dressed in vampire costumes,A man and two women dressed in costumes.,3.4
1214,"Two boys, one wearing a hat, in a playground.",Boy in tan hat laughs while sitting near playground equipment.,2.4
1218,Two dogs playing in snow.,Two dogs play in the snow.,5.0
1220,A woman holds a baby while a man looks at it as another man holding a child watches.,A woman stands with her arms out in a store while another woman holds a camera.,0.4
1221,A white fluffy dog is running in pure white snow.,"A fluffy, white dog running in the snow.",4.6
1222,A woman holding a newspaper.,A man rollerblading on a metal bar.,0.0
1223,A group of men playing brass instruments.,A group of guys play instruments outside.,3.4
1224,Two girls on the shore watch people in a boat fish.,"Two males, one in red and one in white playing a basketball game.",0.0
1225,a snowboarder jumps into the air.,A snowboarder flies through the air.,4.0
1226,A white dog with red ears is running in the snow.,a wet black dog with a red collar is in the river,0.6
1227,A little girl and a little boy hold hands on a shiny slide.,A little girl in a paisley dress runs across a sandy playground.,0.4
1228,Kids play soccer on a field.,Three boys playing soccer in a field,4.2
1229,A group of men walk and hang onto ropes.,A group of men play a college football game.,1.4
1232,A man jumps off of one rooftop onto another.,A young man jumps from one balcony to another.,2.8
1233,A black person in black and red is sleeping on a bench with an open black umbrella.,A man sitting up taking a nap on a park bench with an open umbrella protecting him from the sun.,3.6
1234,"One child pulls another, sitting in a red wagon, along the sand.",A young boy pulls another boy wearing a silly hat in a radio flyer wagon.,3.4
1244,Two puppies playing with a plastic bag.,Two dogs playing in a yard.,3.0
1245,An owl has its wings up and widespread during the day.,The bird has its wings spread as it flies.,2.4
1246,A man in a blue cap is sitting on a stool under a tree.,A dog standing on a beach with a ball nearby.,0.0
1248,A woman sings into a microphone by a guy playing a guitar.,A woman sings into a microphone with a guitar player in the background.,4.4
1249,Three sheep graze on the grassy field with a dog walking behind them.,a small group of goats in the grass with a black and white dog in the backgroud.,2.8
1250,a cyclist is making his bike jump between two rocks.,A man jumps his bicycle in the air between two rocks.,4.4
1251,A man with a grey beard rides his bike on the beach of the ocean.,A spotted dog stands on his hind legs to catch a ball on the beach.,0.6
1252,A man in a black suit is surfing along a crashing wave.,A surfer wearing a black wet suit is riding a a white wave in the ocean.,4.6
1253,A young girl with a pink hat on with a yellow building in the background.,A young girl in a pink dress with something in her hand.,1.8
1254,A girl in a pink dress rides her bike along a white picket fence.,A girl in a red dress rides her bike in front of a white fence.,4.0
1255,A brown furry animal stands behind some plants.,A dog pants while standing in the woods.,1.4
1259,A child in a red shirt is using a black wake board to splash over a beach wave.,A man in a rowboat is rowing across blue water.,1.0
1261,The tan and white dog is running in the field.,The brown and white dogs run through the field.,3.4
1262,Three little girls are sitting on the grass.,Two poodles are running through the snow.,0.8
1265,A brown dog runs towards the camera on a dirt trail with mountains in the background.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.,4.0
1266,A Golden Retriever jumping off a wood porch.,A golden retriever is jumping off a wooden porch,5.0
1268,Dog is jumping down a ramp.,A girls is jumping in the sand.,1.2
1270,The dog plays in the park.,The dog leaps over the fence in the park.,3.2
1273,"Two teenage girls, one is smiling.",A little girl on a kid swing.,0.8
1278,Two birds interacting in the grass,Two dogs play with each other outdoors.,0.2
1280,Four dogs stand in the snow.,Four dogs playing in the snow.,3.6
1283,"Brown and black dogs on snow, showing teeth and barking at each other.",A black dog fighting with a brown dog in the snow.,3.4
1284,Two hikers stand at the top of a snowy mountain.,Two mountain climbers stand on the top of a mountain looking around.,3.4
1288,A man running on a track.,a man running track,5.0
1290,Two children in a field of red flowers.,Two kids are playing in a field of red flowers.,4.8
1291,A young men jumps off rocks into a lake.,A young man in red swimming trunks jumped off a large rock into the water.,4.0
1292,A small black dog is in the grass.,A black dog is running in the grass.,3.6
1293,A lady dressed in a kimono is looking at the camera.,Two girls dressed in black are sitting in a room making suggestive poses at the camera.,1.0
1295,A group of people are firing up a hot air balloon.,A large group of people riding brown and white horses.,0.0
1300,Children play fight with swords.,A child and parent pet a horse.,0.0
1301,A man is wind sailing in the ocean.,A dog is running through the ocean.,1.4
1302,A man is skating down a set of stairs.,The man is skiing down a snowy hill.,0.8
1303,Three dogs racing on a dirt track,Cars racing on a dirt track,1.4
1308,Two people holding hands and walking in a field.,Two men walking past a mural of a car.,1.2
1311,A brown dog chases a Frisbee,A brown dog squating on grass.,1.6
1313,A lady with a yellow outfit is in the air above the bed in a yellow room.,A dog with a red leash still attached chases over the grass toward a tennis ball.,0.0
1316,Woman in red overalls standing on the sidewalk.,A woman in red overalls stands on sidewalk.,5.0
1317,A dog is running through a backyard full of leaves.,Three dogs run through a field.,2.8
1319,two puppies playing around in the grass,Two puppies play in the grass,5.0
1321,A light-colored dog runs through the grass.,A dog runs through the grass.,4.0
1322,Two black and white dogs are playing together outside.,Two children and a black dog are playing out in the snow.,1.0
1323,Three dogs running through water.,A black dog running through water.,1.0
1325,A woman sits alone against a brick wall,A woman is walking with a red bag.,1.2
1328,A skier is jumping in the air over a snowfield near a mountain range.,A woman is sitting near a flower bed overlooking a tunnel.,0.0
1331,A brown dog carrying a stick in its mouth.,A dog swimming with a stick in its mouth.,2.6
1332,A young woman leans over her plate at a meal.,"A young woman, topless except for paint or mud.",0.8
1333,The dogs are playing in the snow.,Two dogs playing on the shore.,1.8
1334,A young boy in red swim trunks is jumping into a pool.,A dog is being squirted with a hose as it jumps into a paddling pool.,0.8
1335,A person climbs up a snowy hill while their dog follows.,A person climbs a snowy hill while a black dog follows.,3.8
1336,A brown dog sits on the beach.,A dog running on the beach,2.0
1340,Scuba diver submerged in water.,The scuba diver is underwater.,5.0
1341,The man is riding a bike down a dirt hill.,A trick bicyclist grinds down a handrail.,1.8
1342,A large gray dog is playing in the deep snow.,Four dogs playing in the snow.,2.6
1343,A man riding his bike on the beach by the ocean.,A man walking his cow down the side of the road.,0.8
1344,Two dogs are running on the grass in front of the trees.,A brown dog is running on the grass in front of some trees.,2.8
1345,A dog in in a car.,A dog is biting a mop.,1.0
1347,Child holding an object that is on fire.,A child in pink holds an object that appears to be on fire.,4.0
1348,A dog with floppy ears walking towards the camera in the woods.,A child in front of his own reflection turning towards the camera and smiling.,1.2
1350,A brown dog is splashing water everywhere by shaking the water off of itself.,A white dog is standing by a river shaking himself dry.,2.4
1351,a young boy climbing on a rock wall,Five greyhounds are racing on a sand track.,0.0
1356,A black and white dog is running on the beach.,The black and brown dog is running through the snow.,1.8
1359,Many middle eastern people are sitting in the back of a blue truck.,A group of people are riding in the back of a truck.,3.4
1360,Person with two ski poles skiing down a snowy hill.,A person skiing down a snowy hill.,4.2
1361,A woman is eating fish at a restaurant.,A woman eating a large fish in a restaurant.,4.6
1362,A child and two dogs play in the water.,A child in red and blue floaties looking down at the water.,2.2
1363,A skateboarder doing a trick on a stone wall.,A skateboarder riding up to a slope.,2.2
1365,People are standing on an escalator moving up.,People ride up an escalator.,4.6
1369,A lady is running her dog through an agility course.,Trainer runs her dog through training course with green pipe,4.2
1370,The white and brown dog is shaking its ears.,The brown dog is running across the sand.,1.4
